instance,variant,run,seed,value,weight,feasible,seconds,items
p05,ASRank,1,987754322,900,104,1,0.211792,1 3 4 5 7 8
p05,ASRank,2,987754323,900,104,1,0.222794,1 3 4 5 7 8
p05,ASRank,3,987754324,900,104,1,0.210358,1 3 4 5 7 8
p05,ASRank,4,987754325,900,104,1,0.25074,1 3 4 5 7 8
p05,ASRank,5,987754326,900,104,1,0.219843,1 3 4 5 7 8
p05,ASRank,6,987754327,900,104,1,0.209278,1 3 4 5 7 8
p05,ASRank,7,987754328,900,104,1,0.197088,1 3 4 5 7 8
p05,ASRank,8,987754329,900,104,1,0.23802,1 3 4 5 7 8
p05,ASRank,9,987754330,900,104,1,0.268285,1 3 4 5 7 8
p05,ASRank,10,987754331,900,104,1,0.25597,1 3 4 5 7 8
p05,ASRank,11,987754332,900,104,1,0.19983,1 3 4 5 7 8
p05,ASRank,12,987754333,900,104,1,0.155491,1 3 4 5 7 8
p05,ASRank,13,987754334,900,104,1,0.169633,1 3 4 5 7 8
p05,ASRank,14,987754335,900,104,1,0.239526,1 3 4 5 7 8
p05,ASRank,15,987754336,900,104,1,0.202394,1 3 4 5 7 8
p05,ASRank,16,987754337,900,104,1,0.247336,1 3 4 5 7 8
p05,ASRank,17,987754338,900,104,1,0.192158,1 3 4 5 7 8
p05,ASRank,18,987754339,900,104,1,0.242211,1 3 4 5 7 8
p05,ASRank,19,987754340,900,104,1,0.257234,1 3 4 5 7 8
p05,ASRank,20,987754341,900,104,1,0.255164,1 3 4 5 7 8
p05,MMAS,1,987854322,900,104,1,0.246386,1 3 4 5 7 8
p05,MMAS,2,987854323,900,104,1,0.226277,1 3 4 5 7 8
p05,MMAS,3,987854324,900,104,1,0.177476,1 3 4 5 7 8
p05,MMAS,4,987854325,900,104,1,0.188441,1 3 4 5 7 8
p05,MMAS,5,987854326,900,104,1,0.220925,1 3 4 5 7 8
p05,MMAS,6,987854327,900,104,1,0.237718,1 3 4 5 7 8
p05,MMAS,7,987854328,900,104,1,0.230498,1 3 4 5 7 8
p05,MMAS,8,987854329,900,104,1,0.205403,1 3 4 5 7 8
p05,MMAS,9,987854330,900,104,1,0.220166,1 3 4 5 7 8
p05,MMAS,10,987854331,900,104,1,0.232514,1 3 4 5 7 8
p05,MMAS,11,987854332,900,104,1,0.234701,1 3 4 5 7 8
p05,MMAS,12,987854333,900,104,1,0.223714,1 3 4 5 7 8
p05,MMAS,13,987854334,900,104,1,0.225922,1 3 4 5 7 8
p05,MMAS,14,987854335,900,104,1,0.193383,1 3 4 5 7 8
p05,MMAS,15,987854336,900,104,1,0.259163,1 3 4 5 7 8
p05,MMAS,16,987854337,900,104,1,0.240344,1 3 4 5 7 8
p05,MMAS,17,987854338,900,104,1,0.23615,1 3 4 5 7 8
p05,MMAS,18,987854339,900,104,1,0.242221,1 3 4 5 7 8
p05,MMAS,19,987854340,900,104,1,0.220233,1 3 4 5 7 8
p05,MMAS,20,987854341,900,104,1,0.245654,1 3 4 5 7 8
p05,ACS,1,987954322,900,104,1,0.241914,1 3 4 5 7 8
p05,ACS,2,987954323,900,104,1,0.193744,1 3 4 5 7 8
p05,ACS,3,987954324,900,104,1,0.207819,1 3 4 5 7 8
p05,ACS,4,987954325,900,104,1,0.25386,1 3 4 5 7 8
p05,ACS,5,987954326,900,104,1,0.186704,1 3 4 5 7 8
p05,ACS,6,987954327,900,104,1,0.244925,1 3 4 5 7 8
p05,ACS,7,987954328,900,104,1,0.232294,1 3 4 5 7 8
p05,ACS,8,987954329,900,104,1,0.235562,1 3 4 5 7 8
p05,ACS,9,987954330,900,104,1,0.245022,1 3 4 5 7 8
p05,ACS,10,987954331,900,104,1,0.227379,1 3 4 5 7 8
p05,ACS,11,987954332,900,104,1,0.195928,1 3 4 5 7 8
p05,ACS,12,987954333,900,104,1,0.229782,1 3 4 5 7 8
p05,ACS,13,987954334,900,104,1,0.244865,1 3 4 5 7 8
p05,ACS,14,987954335,900,104,1,0.238212,1 3 4 5 7 8
p05,ACS,15,987954336,900,104,1,0.247237,1 3 4 5 7 8
p05,ACS,16,987954337,900,104,1,0.227655,1 3 4 5 7 8
p05,ACS,17,987954338,900,104,1,0.262089,1 3 4 5 7 8
p05,ACS,18,987954339,900,104,1,0.209469,1 3 4 5 7 8
p05,ACS,19,987954340,900,104,1,0.173358,1 3 4 5 7 8
p05,ACS,20,987954341,900,104,1,0.172794,1 3 4 5 7 8
p06,AS,1,987654322,1735,169,1,0.138133,2 4 7
p06,AS,2,987654323,1735,169,1,0.143248,2 4 7
p06,AS,3,987654324,1735,169,1,0.117441,2 4 7
p06,AS,4,987654325,1735,169,1,0.144923,2 4 7
p06,AS,5,987654326,1735,169,1,0.153177,2 4 7
p06,AS,6,987654327,1735,169,1,0.123647,2 4 7
p06,AS,7,987654328,1735,169,1,0.162357,2 4 7
p06,AS,8,987654329,1735,169,1,0.15074,2 4 7
p06,AS,9,987654330,1735,169,1,0.151137,2 4 7
p06,AS,10,987654331,1735,169,1,0.141047,2 4 7
p06,AS,11,987654332,1735,169,1,0.152922,2 4 7
p06,AS,12,987654333,1735,169,1,0.123348,2 4 7
p06,AS,13,987654334,1735,169,1,0.144193,2 4 7
p06,AS,14,987654335,1735,169,1,0.141156,2 4 7
p06,AS,15,987654336,1735,169,1,0.155221,2 4 7
p06,AS,16,987654337,1735,169,1,0.141015,2 4 7
p06,AS,17,987654338,1735,169,1,0.107717,2 4 7
p06,AS,18,987654339,1735,169,1,0.122249,2 4 7
p06,AS,19,987654340,1735,169,1,0.15533,2 4 7
p06,AS,20,987654341,1735,169,1,0.114174,2 4 7
p06,ASRank,1,987754322,1735,169,1,0.15954,2 4 7
p06,ASRank,2,987754323,1735,169,1,0.137878,2 4 7
p06,ASRank,3,987754324,1735,169,1,0.18036,2 4 7
p06,ASRank,4,987754325,1735,169,1,0.14645,2 4 7
p06,ASRank,5,987754326,1735,169,1,0.148729,2 4 7
p06,ASRank,6,987754327,1735,169,1,0.172009,2 4 7
p06,ASRank,7,987754328,1735,169,1,0.1436,2 4 7
p06,ASRank,8,987754329,1735,169,1,0.148552,2 4 7
p06,ASRank,9,987754330,1735,169,1,0.15094,2 4 7
