instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p08.txt,2,AS,13549094,6402560,1,0.130085,0.151002,0.0170969,0,0,112358
p08.txt,2,ASRank,13549094,6402560,1,0.125055,0.151218,0.0314214,0,0,212357
p08.txt,2,MMAS,13549094,6402560,1,0.143133,0.161999,0.01882,0,0,312354
p08.txt,2,ACS,13509694,6390248,1,0.151114,0.192634,0.037922,0,0,412352
p01.txt,2,AS,309,165,1,0.0281179,0.0408171,0.0126124,0,0,112358
p01.txt,2,ASRank,309,165,1,0.0257432,0.0315212,0.00749306,0,0,212361
p01.txt,2,MMAS,309,165,1,0.0256595,0.0371971,0.0162088,0,0,312350
p01.txt,2,ACS,309,165,1,0.0239315,0.0327027,0.00744496,0,0,412362
p02.txt,2,AS,51,26,1,0.0113066,0.0166548,0.00429727,0,0,112363
p02.txt,2,ASRank,51,26,1,0.0121655,0.0148794,0.00300772,0,0,212357
p02.txt,2,MMAS,51,26,1,0.011609,0.0140332,0.00293382,0,0,312359
p02.txt,2,ACS,51,26,1,0.0099255,0.0144053,0.00539855,0,0,412347
p03.txt,2,AS,150,190,1,0.0128212,0.017829,0.00570851,0,0,112362
p03.txt,2,ASRank,150,190,1,0.0124584,0.0170521,0.00430302,0,0,212356
p03.txt,2,MMAS,150,190,1,0.0127222,0.0160985,0.00416403,0,0,312362
p03.txt,2,ACS,150,190,1,0.0107145,0.0111879,0.000242896,0,0,412364
p04.txt,2,AS,107,50,1,0.0156645,0.0203879,0.0061785,0,0,112346
p04.txt,2,ASRank,107,50,1,0.0108434,0.0127899,0.00159262,0,0,212352
p04.txt,2,MMAS,107,50,1,0.010724,0.0145789,0.00399876,0,0,312362
p04.txt,2,ACS,107,50,1,0.0090075,0.0114205,0.0089596,0,0,412349
p05.txt,2,AS,900,104,1,0.0238936,0.0312435,0.00721781,0,0,112363
p05.txt,2,ASRank,900,104,1,0.0218421,0.0285911,0.0106595,0,0,212347
p05.txt,2,MMAS,900,104,1,0.0231592,0.0371212,0.008147,0,0,312351
p05.txt,2,ACS,900,104,1,0.0387098,0.0443879,0.0150215,0,0,412348
p06.txt,2,AS,1735,169,1,0.0274786,0.0288739,0.00168858,0,0,112364
